Date,Time,Booking ID,Booking Status,Customer ID,Vehicle Type,Pickup Location,Drop Location,Avg VTAT,Avg CTAT,Cancelled Rides by Customer,Reason for cancelling by Customer,Cancelled Rides by Driver,Driver Cancellation Reason,Incomplete Rides,Incomplete Rides Reason,Booking Value,Ride Distance,Driver Ratings,Customer Rating,Payment Method
18/10/24,17:26:21,"""CNR3916823""",Cancelled by Customer,"""CID1193276""",Go Mini,Peeragarhi,Botanical Garden,10.5,,1,Change of plans,,,,,,,,,
23/12/24,9:00:16,"""CNR8999677""",Cancelled by Customer,"""CID7476054""",Bike,Vaishali,Ghitorni Village,17.6,,1,Wrong Address,,,,,,,,,
09/02/24,15:33:24,"""CNR3933826""",No Driver Found,"""CID4014417""",Auto,Badarpur,Adarsh Nagar,,,,,,,,,,,,,
01/11/24,9:26:13,"""CNR8368095""",Cancelled by Driver,"""CID3843579""",Auto,Noida Film City,Inderlok,10.3,,,,1,More than permitted people in there,,,,,,,
13/12/24,19:31:10,"""CNR6668772""",Cancelled by Driver,"""CID6748674""",Auto,Anand Vihar,Gurgaon Railway Station,10.1,,,,1,Customer related issue,,,,,,,
29/02/24,15:05:46,"""CNR3334917""",Cancelled by Driver,"""CID2117374""",Go Sedan,Faridabad Sector 15,Chandni Chowk,7.8,,,,1,Personal & Car related issues,,,,,,,
05/01/24,16:14:03,"""CNR6362905""",Cancelled by Driver,"""CID2633452""",Bike,Patel Chowk,Paschim Vihar,11.8,,,,1,More than permitted people in there,,,,,,,
01/03/24,20:42:44,"""CNR1705021""",Completed,"""CID6129339""",Go Sedan,Vidhan Sabha,Rithala,6.4,21,,,,,,,372,31.68,4.2,4.8,UPI
20/05/24,13:49:04,"""CNR9141550""",Completed,"""CID1103593""",Go Sedan,Barakhamba Road,Keshav Puram,12.2,24.6,,,,,,,162,6.37,4.1,3.4,Cash
22/10/24,17:14:55,"""CNR5712701""",Completed,"""CID6993646""",Auto,Connaught Place,Paschim Vihar,6.1,19.2,,,,,,,319,9.07,4.3,4.9,Cash
29/01/24,9:10:57,"""CNR7474128""",Completed,"""CID5814759""",Bike,Jama Masjid,Karkarduma,2.3,21,,,,,,,257,17.09,4,3.4,UPI
01/05/24,18:07:53,"""CNR8620711""",Completed,"""CID4822688""",Auto,Samaypur Badli,Connaught Place,12.4,41.2,,,,,,,494,4.3,4.3,4.3,UPI
02/04/24,18:03:13,"""CNR4506022""",Completed,"""CID7522493""",Auto,Paharganj,Nawada,11.4,43.1,,,,,,,228,4.36,4.1,4.3,Credit Card
23/08/24,17:29:47,"""CNR9396599""",Cancelled by Driver,"""CID4445642""",Go Sedan,Narsinghpur,Munirka,3.5,,,,1,The customer was coughing/sick,,,,,,,
09/05/24,12:08:22,"""CNR9954933""",Cancelled by Driver,"""CID5315542""",Go Sedan,Tis Hazari,Greater Noida,3.8,,,,1,The customer was coughing/sick,,,,,,,
11/10/24,17:12:32,"""CNR3341152""",Completed,"""CID9395540""",Go Sedan,Indirapuram,Connaught Place,11.3,30.4,,,,,,,159,37.89,4.4,4.8,Cash
14/09/24,14:25:22,"""CNR2949407""",Completed,"""CID7242129""",Auto,Chanakyapuri,Barakhamba Road,13.4,19.7,,,,,,,167,13.52,4.2,4.5,UPI
09/07/24,0:17:07,"""CNR5974376""",Cancelled by Driver,"""CID6003140""",Go Mini,Paschim Vihar,Rajouri Garden,7,,,,1,Customer related issue,,,,,,,
14/05/24,18:03:35,"""CNR5525272""",No Driver Found,"""CID1389119""",Bike,Chanakyapuri,Mayur Vihar,,,,,,,,,,,,,
08/03/24,9:45:21,"""CNR1523990""",Cancelled by Driver,"""CID7255778""",eBike,Noida Extension,Maidan Garhi,10.3,,,,1,The customer was coughing/sick,,,,,,,
24/06/24,15:24:46,"""CNR4192549""",Completed,"""CID1299881""",eBike,Saket A Block,Qutub Minar,12.1,36.4,,,,,,,535,5.37,4.6,3.2,Credit Card
07/02/24,18:33:37,"""CNR1161886""",Completed,"""CID3217428""",Auto,Arjangarh,Inderlok,9.1,27.7,,,,,,,261,3.41,4.7,3.8,UPI
12/11/24,0:13:41,"""CNR8120058""",Completed,"""CID6642384""",Premier Sedan,Cyber Hub,Meerut,11.2,32.8,,,,,,,78,25.03,4.2,4.1,UPI
31/01/24,19:02:54,"""CNR3923331""",Completed,"""CID6662046""",Go Mini,Sultanpur,Dwarka Sector 21,5.1,44.2,,,,,,,386,8.82,5,4,Debit Card
23/02/24,8:16:23,"""CNR9270742""",Completed,"""CID8031863""",Auto,Sultanpur,Nehru Place,2.3,15.2,,,,,,,806,2.54,5,4.1,UPI
03/09/24,13:33:54,"""CNR7154072""",Completed,"""CID6753673""",Go Mini,Jor Bagh,Sadar Bazar Gurgaon,12.3,31.5,,,,,,,355,17.81,4.1,4.2,Credit Card
16/10/24,7:24:54,"""CNR3548948""",Completed,"""CID8049942""",Go Mini,Bahadurgarh,Moti Nagar,14.8,25.4,,,,,,,234,19.72,4.9,4.2,Debit Card
07/09/24,6:16:40,"""CNR8471841""",Incomplete,"""CID2082116""",eBike,Bahadurgarh,Noida Sector 62,8.8,23.5,,,,,1,Vehicle Breakdown,344,15.44,,,Uber Wallet
27/10/24,6:35:16,"""CNR7280104""",Cancelled by Driver,"""CID5950567""",Go Mini,Hauz Rani,Chirag Delhi,10,,,,1,More than permitted people in there,,,,,,,
09/02/24,12:05:54,"""CNR5176593""",Completed,"""CID7619160""",Bike,Seelampur,Jama Masjid,12.5,25.3,,,,,,,554,28.34,4.3,4.4,Cash
30/08/24,17:38:18,"""CNR7546812""",Completed,"""CID4490557""",Bike,Saket,Nirman Vihar,5.7,41.6,,,,,,,459,25.89,4.1,4.9,UPI
12/02/24,20:10:03,"""CNR3603486""",No Driver Found,"""CID3901300""",Premier Sedan,Moolchand,IFFCO Chowk,,,,,,,,,,,,,
06/11/24,16:05:25,"""CNR6699518""",No Driver Found,"""CID3036922""",Bike,Noida Sector 18,Udyog Vihar,,,,,,,,,,,,,
19/04/24,18:04:40,"""CNR5991930""",Cancelled by Driver,"""CID1616077""",Auto,Lal Quila,DLF City Court,5,,,,1,The customer was coughing/sick,,,,,,,
15/12/24,13:22:40,"""CNR9047666""",Completed,"""CID2122992""",Go Sedan,Jor Bagh,Model Town,9.8,17.1,,,,,,,1100,41.05,3.6,4.9,UPI
20/01/24,22:39:28,"""CNR8458383""",Cancelled by Driver,"""CID7820249""",Auto,Vishwavidyalaya,Basai Dhankot,11,,,,1,The customer was coughing/sick,,,,,,,
02/10/24,18:34:25,"""CNR2478923""",Completed,"""CID3784254""",Go Sedan,IFFCO Chowk,Karkarduma,12,33.3,,,,,,,361,9.12,4.2,4.5,UPI
09/05/24,21:07:35,"""CNR2377058""",Completed,"""CID9986045""",Bike,Sikanderpur,Vidhan Sabha,6.1,38.1,,,,,,,139,26.17,3.7,4.5,Cash
03/05/24,9:46:01,"""CNR8237446""",Cancelled by Customer,"""CID2563165""",Auto,Botanical Garden,Noida Film City,18.3,,1,Driver is not moving towards pickup location,,,,,,,,,
10/05/24,12:28:55,"""CNR2570913""",Cancelled by Driver,"""CID1292304""",Go Mini,Ashok Park Main,Maidan Garhi,4,,,,1,More than permitted people in there,,,,,,,
19/02/24,15:43:53,"""CNR4363685""",Completed,"""CID7609778""",eBike,Tis Hazari,Raj Nagar Extension,13.7,44.6,,,,,,,477,22.7,3.4,4.2,Cash
02/07/24,21:52:55,"""CNR3297384""",No Driver Found,"""CID7067164""",Premier Sedan,Maidan Garhi,Sadar Bazar Gurgaon,,,,,,,,,,,,,
12/06/24,14:45:06,"""CNR2128662""",No Driver Found,"""CID2132130""",Bike,Tagore Garden,Jama Masjid,,,,,,,,,,,,,
24/10/24,14:48:48,"""CNR1437771""",Completed,"""CID7660431""",Bike,IGI Airport,Kashmere Gate,3.9,23.5,,,,,,,187,42.14,4.6,4.3,UPI
26/10/24,8:30:36,"""CNR9215327""",Cancelled by Driver,"""CID3200236""",Bike,Noida Sector 62,Gurgaon Sector 29,10.7,,,,1,The customer was coughing/sick,,,,,,,
26/11/24,16:41:00,"""CNR9144201""",Completed,"""CID3431475""",Bike,Arjangarh,Huda City Centre,4.1,25.2,,,,,,,188,32.19,4.3,4.3,Uber Wallet
25/08/24,5:25:00,"""CNR5327313""",Completed,"""CID6073359""",Go Sedan,Ramesh Nagar,Adarsh Nagar,15,18.5,,,,,,,480,49.81,4.2,4.2,UPI
08/07/24,17:23:46,"""CNR2848783""",Completed,"""CID6761560""",Bike,Malviya Nagar,Ashok Vihar,7.6,43.7,,,,,,,626,40.37,3.5,5,UPI
22/10/24,16:09:55,"""CNR9787737""",Completed,"""CID9650244""",Premier Sedan,Samaypur Badli,Malviya Nagar,4.8,34.4,,,,,,,646,17.1,4.6,4.8,UPI
10/12/24,19:25:28,"""CNR2259479""",Completed,"""CID2766590""",Go Sedan,Nehru Place,Hauz Khas,9.1,39.2,,,,,,,672,30.74,4.9,3.2,Uber Wallet
15/08/24,11:16:09,"""CNR5981635""",Completed,"""CID3550958""",Auto,Sarai Kale Khan,Akshardham,11.7,36.2,,,,,,,659,48.34,3.5,3.7,Cash
27/09/24,6:55:57,"""CNR9193547""",No Driver Found,"""CID8877725""",eBike,Bahadurgarh,Ambience Mall,,,,,,,,,,,,,
16/12/24,4:16:56,"""CNR1612595""",Completed,"""CID4775442""",Bike,Cyber Hub,Tilak Nagar,7.1,27.3,,,,,,,748,15.43,3.6,4.9,Cash
12/12/24,12:01:03,"""CNR7399729""",No Driver Found,"""CID7348931""",Auto,Subhash Nagar,Rajiv Nagar,,,,,,,,,,,,,
06/11/24,17:07:12,"""CNR5530015""",Completed,"""CID5056425""",Go Sedan,Qutub Minar,Jor Bagh,11.2,44.8,,,,,,,212,36.16,3.8,4.5,UPI
10/08/24,21:46:41,"""CNR6234514""",Completed,"""CID8211741""",Go Mini,Gurgaon Sector 29,Nawada,7.9,29.7,,,,,,,1211,26.82,4.9,4.6,UPI
28/10/24,16:57:11,"""CNR1110362""",No Driver Found,"""CID6406421""",Auto,Saidulajab,Pataudi Chowk,,,,,,,,,,,,,
21/08/24,21:58:32,"""CNR6145445""",Cancelled by Driver,"""CID7779429""",Go Mini,New Delhi Railway Station,Vaishali,3.2,,,,1,Customer related issue,,,,,,,
26/02/24,6:24:56,"""CNR3440216""",Incomplete,"""CID4705212""",Go Mini,Ambience Mall,Badshahpur,6.2,11.9,,,,,1,Vehicle Breakdown,779,5.95,,,Cash
04/10/24,15:29:37,"""CNR8163812""",Completed,"""CID2789261""",Premier Sedan,Sonipat,Tagore Garden,9.2,15.7,,,,,,,822,46.27,4.2,4.9,UPI
17/01/24,10:03:07,"""CNR4219588""",Completed,"""CID2037317""",Bike,Jor Bagh,DLF City Court,2.7,40.6,,,,,,,453,38.05,4.4,5,UPI
02/04/24,20:59:47,"""CNR1320817""",Completed,"""CID7551418""",Auto,Maidan Garhi,Jasola,6.7,36,,,,,,,338,19.79,4.9,4.2,Debit Card
16/06/24,12:17:44,"""CNR9451696""",Completed,"""CID5799504""",Go Sedan,Ashok Park Main,Connaught Place,6.3,15.6,,,,,,,268,29.83,4.3,4.4,UPI
20/08/24,6:49:19,"""CNR5322026""",Completed,"""CID5552811""",Auto,Nirman Vihar,IGNOU Road,3.8,40.5,,,,,,,1025,44.84,4.3,3.2,UPI
31/05/24,11:56:43,"""CNR3640503""",Cancelled by Customer,"""CID9846064""",Go Sedan,Ambience Mall,Central Secretariat,19.4,,1,Driver is not moving towards pickup location,,,,,,,,,
12/04/24,16:04:50,"""CNR4213792""",Completed,"""CID1067036""",Bike,Arjangarh,IGI Airport,6.4,42.6,,,,,,,733,36.1,4.8,5,Cash
15/08/24,17:28:08,"""CNR7777908""",Completed,"""CID7732415""",Go Mini,Uttam Nagar,Sultanpur,5.6,30,,,,,,,238,36.41,4.3,4.6,Cash
10/11/24,13:47:51,"""CNR2743427""",Completed,"""CID7541078""",Bike,Yamuna Bank,Khandsa,12.8,40.8,,,,,,,575,8.97,3.7,4.3,UPI
02/12/24,0:42:51,"""CNR4726646""",Completed,"""CID9789758""",Premier Sedan,Pataudi Chowk,Green Park,12.4,42.8,,,,,,,158,29.63,4.3,3.8,UPI
09/01/24,21:16:50,"""CNR6632284""",Cancelled by Driver,"""CID9416764""",Bike,Jor Bagh,Tughlakabad,10.8,,,,1,Customer related issue,,,,,,,
15/09/24,6:23:13,"""CNR9901788""",Completed,"""CID6153696""",Auto,Civil Lines Gurgaon,Adarsh Nagar,10.5,43.8,,,,,,,128,27.37,4.3,4.9,Cash
20/11/24,17:53:04,"""CNR3109673""",Completed,"""CID7117409""",Go Mini,Paschim Vihar,Faridabad Sector 15,2.9,33.1,,,,,,,61,44.53,4.7,4.9,Credit Card
17/12/24,16:39:22,"""CNR1617382""",Completed,"""CID5273684""",Go Mini,Aya Nagar,Panipat,10.1,21.1,,,,,,,332,33.36,4.9,5,UPI
09/02/24,18:41:41,"""CNR3039910""",Completed,"""CID1372947""",Auto,Kadarpur,Dwarka Sector 21,13.2,24,,,,,,,188,5.23,4.6,4.1,Debit Card
15/06/24,13:33:03,"""CNR8917026""",Completed,"""CID6896599""",Go Sedan,Kalkaji,GTB Nagar,7.3,20.5,,,,,,,228,9.35,4.3,4.8,Debit Card
19/07/24,20:23:58,"""CNR4481156""",Cancelled by Driver,"""CID2139192""",Go Mini,Malviya Nagar,Adarsh Nagar,5.4,,,,1,Personal & Car related issues,,,,,,,
28/03/24,9:23:14,"""CNR1147765""",Cancelled by Driver,"""CID9246804""",Bike,Ramesh Nagar,Munirka,5.2,,,,1,More than permitted people in there,,,,,,,
05/02/24,14:11:48,"""CNR6511272""",No Driver Found,"""CID4411278""",Auto,Nirman Vihar,Jhilmil,,,,,,,,,,,,,
29/01/24,21:35:51,"""CNR7383566""",Completed,"""CID9544456""",Auto,Satguru Ram Singh Marg,Panipat,4.6,19.6,,,,,,,807,37.69,3.4,4.5,UPI
18/01/24,2:58:16,"""CNR3852413""",Completed,"""CID9249545""",Go Sedan,Rohini East,Sultanpur,2.1,17.5,,,,,,,66,34.44,4.5,4.8,Cash
15/12/24,11:38:27,"""CNR6147430""",Cancelled by Driver,"""CID8888481""",Go Mini,Mansarovar Park,Anand Vihar,6.8,,,,1,Personal & Car related issues,,,,,,,
11/01/24,11:25:46,"""CNR5237082""",Cancelled by Driver,"""CID5707794""",Premier Sedan,Sarojini Nagar,Preet Vihar,9.8,,,,1,More than permitted people in there,,,,,,,
21/11/24,5:31:18,"""CNR2207245""",Cancelled by Customer,"""CID2024223""",eBike,DLF Phase 3,Bahadurgarh,19,,1,Driver asked to cancel,,,,,,,,,
25/09/24,9:28:39,"""CNR1129851""",Incomplete,"""CID4252716""",Uber XL,Qutub Minar,Badarpur,6.3,20.3,,,,,1,Customer Demand,466,5.75,,,UPI
24/08/24,19:47:46,"""CNR9865883""",No Driver Found,"""CID1935232""",Auto,India Gate,DLF Phase 3,,,,,,,,,,,,,
29/02/24,6:16:45,"""CNR3928912""",Completed,"""CID6562925""",Bike,Malviya Nagar,Greater Noida,7,33.5,,,,,,,433,25.85,4.5,4.2,Debit Card
02/01/24,13:24:52,"""CNR7759230""",No Driver Found,"""CID7489006""",Premier Sedan,Kashmere Gate ISBT,Panipat,,,,,,,,,,,,,
11/01/24,16:18:46,"""CNR5199607""",Completed,"""CID3806914""",Bike,Indirapuram,Shivaji Park,2.7,18.1,,,,,,,197,33.2,4.2,4.9,UPI
26/02/24,15:25:54,"""CNR2569087""",No Driver Found,"""CID9701908""",Go Sedan,Gurgaon Sector 56,Rithala,,,,,,,,,,,,,
23/01/24,12:52:45,"""CNR2113535""",Completed,"""CID9869561""",Bike,Rajiv Chowk,Janakpuri,3.8,35,,,,,,,609,30.44,4.8,3.6,UPI
27/07/24,8:09:17,"""CNR8675914""",Completed,"""CID7098711""",Go Sedan,Janakpuri,Lok Kalyan Marg,12,21.3,,,,,,,868,44.94,3.3,4.7,Cash
19/12/24,9:22:49,"""CNR2131787""",Completed,"""CID4018847""",Go Mini,Pataudi Chowk,South Extension,7.2,25.1,,,,,,,615,32.47,3.9,4.2,Uber Wallet
30/04/24,10:04:36,"""CNR8151081""",Completed,"""CID3019291""",Premier Sedan,IGNOU Road,Rohini West,2.4,21.8,,,,,,,2514,33.41,4.5,4.4,Credit Card
25/07/24,14:01:31,"""CNR4302229""",Completed,"""CID4609645""",eBike,Chandni Chowk,Saket,11.6,25.5,,,,,,,254,39.76,4.4,5,Credit Card
05/11/24,14:22:01,"""CNR3182020""",Completed,"""CID3191108""",Go Sedan,Greater Kailash,Green Park,9,19.3,,,,,,,729,29.63,3.9,4.9,Cash
14/01/24,16:29:55,"""CNR1602115""",Completed,"""CID4773574""",Bike,Anand Vihar ISBT,New Colony,2.9,41.6,,,,,,,1512,22.75,3.5,3.7,UPI
01/03/24,11:24:44,"""CNR7571519""",Completed,"""CID5278367""",Auto,Subhash Nagar,Paharganj,6,44.3,,,,,,,604,49.66,4.4,3.8,UPI
08/03/24,4:48:46,"""CNR9336020""",Cancelled by Driver,"""CID6181570""",Bike,New Delhi Railway Station,India Gate,9.2,,,,1,More than permitted people in there,,,,,,,
22/07/24,18:17:49,"""CNR5664631""",Completed,"""CID6027672""",Premier Sedan,Noida Extension,Tughlakabad,2.7,24,,,,,,,161,45.86,4.3,4.6,Cash
11/01/24,20:51:28,"""CNR5248165""",Completed,"""CID1823887""",Go Sedan,Preet Vihar,Nawada,4.8,23.6,,,,,,,487,21.1,3.7,4.3,Debit Card
25/10/24,12:53:37,"""CNR9370157""",Completed,"""CID5894686""",eBike,Subhash Nagar,Lok Kalyan Marg,4.4,18.7,,,,,,,352,42.42,4.6,3.7,Cash
25/05/24,10:40:39,"""CNR5022934""",Completed,"""CID9214354""",Go Sedan,Old Gurgaon,Lal Quila,13.9,37.5,,,,,,,852,33.7,4.3,4.8,Cash
07/03/24,8:42:15,"""CNR4052477""",Completed,"""CID3595285""",Go Sedan,Meerut,Kalkaji,10.5,22.3,,,,,,,924,19.4,4.5,4.2,UPI
08/06/24,5:25:31,"""CNR2349954""",Completed,"""CID5201090""",eBike,Ramesh Nagar,Hauz Rani,14.9,24.2,,,,,,,503,43.8,3.3,4.2,Cash
14/03/24,20:24:51,"""CNR1422963""",Cancelled by Customer,"""CID1940250""",Premier Sedan,Model Town,Nawada,18.4,,1,Driver asked to cancel,,,,,,,,,
19/01/24,12:31:01,"""CNR7802167""",Completed,"""CID9510796""",Go Sedan,Dwarka Sector 21,Panipat,12.7,23.7,,,,,,,992,38.41,4.8,4.7,Cash
19/12/24,22:45:20,"""CNR9774277""",Completed,"""CID8421347""",Go Mini,Kirti Nagar,Connaught Place,3.9,32.8,,,,,,,163,32.59,4.5,4.6,Debit Card
07/04/24,21:35:13,"""CNR5997056""",Completed,"""CID5118315""",Premier Sedan,Tis Hazari,Barakhamba Road,14.5,43.1,,,,,,,419,38.12,4.1,4.1,Uber Wallet
16/02/24,13:54:54,"""CNR6631783""",Cancelled by Driver,"""CID4260855""",eBike,AIIMS,Moti Nagar,11.2,,,,1,The customer was coughing/sick,,,,,,,
12/01/24,18:02:17,"""CNR9619783""",Completed,"""CID5392385""",Auto,Saket,Mayur Vihar,11.4,34,,,,,,,162,16.65,4.6,4.7,Uber Wallet
24/05/24,15:51:38,"""CNR7657831""",Completed,"""CID6697088""",Go Sedan,Aya Nagar,Karkarduma,8.6,23.3,,,,,,,874,41.98,3.9,3.7,Cash
06/11/24,8:22:24,"""CNR3672574""",Completed,"""CID7827614""",Go Sedan,Kalkaji,Udyog Bhawan,14.3,37.1,,,,,,,874,37.19,3.4,5,Debit Card
23/12/24,1:14:06,"""CNR2854827""",Completed,"""CID2038618""",Go Mini,Jama Masjid,AIIMS,3.9,23.9,,,,,,,696,28.68,3.7,4.6,UPI
19/10/24,13:04:28,"""CNR6028973""",Completed,"""CID7625998""",Premier Sedan,Ashok Vihar,Noida Sector 62,8.2,29.8,,,,,,,321,26.71,4.2,5,Credit Card
22/04/24,22:20:25,"""CNR2914591""",Completed,"""CID7859427""",Go Sedan,Meerut,Anand Vihar ISBT,5.3,23.5,,,,,,,472,10.86,4.6,4.3,UPI
26/10/24,21:34:59,"""CNR6095769""",Cancelled by Driver,"""CID4270607""",Bike,Preet Vihar,Moolchand,11.8,,,,1,The customer was coughing/sick,,,,,,,
13/12/24,16:26:13,"""CNR5650984""",Cancelled by Driver,"""CID9248942""",Premier Sedan,Chanakyapuri,Tagore Garden,10.8,,,,1,The customer was coughing/sick,,,,,,,
31/08/24,21:39:06,"""CNR7611217""",Completed,"""CID8782167""",Premier Sedan,Vaishali,Ghitorni Village,2.5,34.3,,,,,,,259,26.7,4.2,4.8,UPI
17/05/24,18:39:23,"""CNR4356260""",Completed,"""CID7638690""",Auto,New Colony,Gurgaon Sector 56,4.5,28.6,,,,,,,186,32.83,4.1,4.3,UPI
02/07/24,13:58:49,"""CNR7045135""",Completed,"""CID6576855""",Auto,Noida Sector 62,Noida Film City,14.2,37.9,,,,,,,172,28.05,4.1,4.3,UPI
15/06/24,8:26:12,"""CNR2983908""",Completed,"""CID4992950""",Premier Sedan,Kanhaiya Nagar,MG Road,9.5,25.2,,,,,,,626,15,4.3,4.9,Debit Card
30/06/24,23:32:50,"""CNR5913936""",Completed,"""CID9705484""",Go Mini,Noida Sector 62,Paharganj,2.2,39.9,,,,,,,123,34.36,4.3,4.5,Cash
09/07/24,21:56:06,"""CNR8891434""",Completed,"""CID2902182""",Auto,Rithala,Sultanpur,5.8,28.1,,,,,,,117,25.05,4.5,5,Credit Card
25/03/24,19:31:33,"""CNR1630159""",Completed,"""CID1984063""",Auto,Malviya Nagar,Welcome,8.2,43.4,,,,,,,548,26.7,4.3,4.1,Debit Card
29/10/24,19:28:03,"""CNR4924901""",Cancelled by Driver,"""CID6756698""",Auto,Preet Vihar,GTB Nagar,11.1,,,,1,The customer was coughing/sick,,,,,,,
22/02/24,6:08:50,"""CNR2345516""",Completed,"""CID3057779""",Auto,Mayur Vihar,New Colony,13.2,37,,,,,,,414,38.87,4.6,4.5,UPI
13/01/24,15:56:25,"""CNR4063095""",Completed,"""CID2430092""",Go Sedan,Manesar,Vinobapuri,14.7,16.7,,,,,,,1649,15.13,4.2,4.7,UPI
27/09/24,21:27:12,"""CNR1883333""",Cancelled by Driver,"""CID4371928""",Go Mini,Sarai Kale Khan,Okhla,11.4,,,,1,More than permitted people in there,,,,,,,
05/11/24,4:48:45,"""CNR1889913""",Incomplete,"""CID8324948""",Go Mini,Welcome,INA Market,7.1,20.7,,,,,1,Other Issue,143,8.35,,,Cash
17/12/24,13:18:59,"""CNR6583688""",No Driver Found,"""CID3353274""",Go Mini,Subhash Chowk,Anand Vihar,,,,,,,,,,,,,
05/10/24,8:37:52,"""CNR2909140""",Completed,"""CID8762023""",Bike,Ghitorni,Panchsheel Park,7.1,39.9,,,,,,,833,42.41,4.9,4.1,Uber Wallet
30/04/24,11:02:18,"""CNR5407135""",Completed,"""CID9389583""",Go Mini,Noida Film City,Chandni Chowk,5.5,36.2,,,,,,,243,11.18,3.6,4.2,Cash
23/04/24,18:26:36,"""CNR7754681""",Completed,"""CID9727394""",Go Mini,Sohna Road,Uttam Nagar,8.4,22.9,,,,,,,827,8.88,4.2,3.7,Uber Wallet
16/11/24,16:15:19,"""CNR7328277""",Completed,"""CID6888139""",Go Sedan,ITO,Kanhaiya Nagar,6.1,23.4,,,,,,,650,18.39,4.3,4.9,Cash
13/06/24,22:57:02,"""CNR9161863""",Completed,"""CID6266069""",Bike,Subhash Nagar,Indraprastha,7.5,43.9,,,,,,,144,11.69,3.7,4.9,UPI
25/10/24,11:30:23,"""CNR2623098""",Completed,"""CID9751934""",Go Sedan,Panipat,Rajiv Chowk,11.9,32.4,,,,,,,359,33.49,4.6,4.1,UPI
20/01/24,18:35:51,"""CNR7951854""",Completed,"""CID9014340""",Bike,Tughlakabad,Lajpat Nagar,14,18.5,,,,,,,805,16.25,4.6,4.9,Credit Card
22/06/24,23:54:18,"""CNR9749273""",No Driver Found,"""CID6733025""",Go Mini,Preet Vihar,Satguru Ram Singh Marg,,,,,,,,,,,,,
24/05/24,20:52:56,"""CNR7951530""",Cancelled by Customer,"""CID8849687""",Bike,Lok Kalyan Marg,Lajpat Nagar,8.8,,1,Driver is not moving towards pickup location,,,,,,,,,
31/05/24,12:04:19,"""CNR4013866""",Completed,"""CID8472536""",Premier Sedan,Vatika Chowk,Pulbangash,12.2,37.5,,,,,,,184,44.27,4.7,4.9,UPI
29/07/24,19:14:08,"""CNR5619347""",No Driver Found,"""CID1435997""",Go Sedan,Bhikaji Cama Place,Adarsh Nagar,,,,,,,,,,,,,
15/02/24,10:01:39,"""CNR1953626""",Cancelled by Driver,"""CID5801635""",Premier Sedan,Pulbangash,Ambience Mall,6.9,,,,1,The customer was coughing/sick,,,,,,,
22/04/24,17:10:32,"""CNR9483393""",Cancelled by Driver,"""CID3168306""",Auto,AIIMS,Ramesh Nagar,10.6,,,,1,The customer was coughing/sick,,,,,,,
01/11/24,3:16:27,"""CNR1900444""",Incomplete,"""CID3797820""",Go Mini,Gurgaon Railway Station,DLF Phase 3,4.3,22,,,,,1,Other Issue,431,8.13,,,Cash
16/09/24,20:31:56,"""CNR7090050""",Completed,"""CID9045825""",eBike,Mayur Vihar,Jama Masjid,2.4,40.8,,,,,,,222,3.86,4.7,4.5,Cash
24/02/24,19:02:16,"""CNR8539753""",Completed,"""CID7937367""",Go Mini,Sarojini Nagar,Paharganj,11.6,25.7,,,,,,,331,17.02,4.9,4.5,Credit Card
23/11/24,9:25:34,"""CNR6275564""",Completed,"""CID1585545""",Go Mini,Lajpat Nagar,Preet Vihar,3.5,40.9,,,,,,,1593,36.02,4.1,4.9,Cash
29/03/24,1:15:20,"""CNR8989570""",Completed,"""CID5339588""",Premier Sedan,Khandsa,Bahadurgarh,7.6,24.5,,,,,,,254,44.99,4.3,4.4,Debit Card
13/10/24,13:19:45,"""CNR7474878""",Completed,"""CID1273566""",Go Mini,Adarsh Nagar,ITO,8.2,40.1,,,,,,,2845,21.01,3.3,4.1,Debit Card
13/03/24,19:54:56,"""CNR7351831""",Completed,"""CID9590969""",Go Mini,Sadar Bazar Gurgaon,Kashmere Gate ISBT,5.3,28,,,,,,,202,39.59,4.6,4.9,UPI
30/12/24,18:55:49,"""CNR4135502""",No Driver Found,"""CID3916371""",Go Sedan,Tughlakabad,Kanhaiya Nagar,,,,,,,,,,,,,
13/12/24,8:59:57,"""CNR4114519""",Cancelled by Customer,"""CID5560816""",Go Mini,New Colony,Shahdara,5.4,,1,Driver is not moving towards pickup location,,,,,,,,,
03/11/24,21:39:55,"""CNR2400516""",Completed,"""CID1518055""",Premier Sedan,Yamuna Bank,DLF City Court,5,25,,,,,,,637,20.33,4.8,4.6,Uber Wallet
11/07/24,19:57:47,"""CNR1306339""",Cancelled by Driver,"""CID9885099""",eBike,Nawada,IMT Manesar,8.2,,,,1,Personal & Car related issues,,,,,,,
27/05/24,9:44:02,"""CNR4491467""",Completed,"""CID7645127""",Bike,Kashmere Gate,Hauz Khas,6.3,18.2,,,,,,,131,12.81,4.3,3.3,UPI
29/01/24,18:26:20,"""CNR8869730""",No Driver Found,"""CID4541132""",Go Sedan,Vaishali,Kanhaiya Nagar,,,,,,,,,,,,,
02/03/24,11:15:40,"""CNR6284171""",Completed,"""CID1178660""",Bike,Gwal Pahari,Vishwavidyalaya,4,23.2,,,,,,,269,6.07,3.2,3.2,Debit Card
05/01/24,2:20:16,"""CNR8527018""",Cancelled by Driver,"""CID1492093""",Go Sedan,Saidulajab,Tagore Garden,8.1,,,,1,Personal & Car related issues,,,,,,,
